,Set_no,Imf_1_MEAN,Imf_1_MIN,Imf_1_MAX,Imf_1_SKEWNESS,Label
0,4401,0.04009337619710624,-0.6474982183126741,0.6861183371012649,0.029075137090853926,1
1,4402,0.07351132194808863,-1.3889926556756378,1.7147384748436678,0.5193025970328031,1
2,4403,-0.010256930115364896,-0.9489749983988645,0.9242902656379561,-0.015019468406764479,1
3,4404,-0.018021164551295585,-0.5032843647416432,0.459044314505993,-0.047669755185056735,1
4,4405,-0.05467437392117488,-0.6119352312018128,0.7499802320283684,0.25580513487151924,1
5,4406,-0.03422802728698816,-0.6067821603290535,0.4747584744183656,-0.18838143203515312,1
6,4407,-0.00463402663157242,-0.24459190169837247,0.2915405183316724,0.11057313957020581,1
7,4408,-0.005944272612198829,-0.5349409187731102,0.4150811885353613,-0.2460793893602238,1
8,4409,-0.0047205145370029,-0.6327581359932113,0.9457665977624894,0.6904525739217257,1
9,4410,-0.0010951615061755087,-0.21721887559861044,0.24207728582599292,0.0017817542586209224,1
10,4411,0.046270705190217615,-0.47983895395116116,0.7587439199904136,0.8635718772543379,1
11,4412,0.003865951449741259,-0.20097072319072667,0.17039750642696358,-0.05756789275477619,1
12,4413,-0.04782561711739949,-0.41642942495583296,0.3529536375378379,-0.1225706116438359,1
13,4414,0.00768658193763514,-0.1920624437266229,0.18573083004486962,-0.09029187032067831,1
14,4415,-0.058494296261870714,-0.42409940581698613,0.34594628028339813,0.19742133076344676,1
15,4416,0.023703503486562583,-0.40441311228439575,0.5788109980534852,0.7498835693713337,1
16,4417,-0.0013457983699900714,-0.15764194614037608,0.14695203165095028,-0.18163675475754282,1
17,4418,-0.0003984902785263089,-0.10069869823729634,0.1081068360461074,-0.02127364572082663,1
18,4419,0.0063901480001208495,-0.36473139083052264,0.3860028502858854,0.1758482243696418,1
19,4420,0.0013819721670402282,-0.34008997445656025,0.3053355849891559,-0.4501094279287821,1
20,4421,-0.005320973414560161,-0.23808285245141736,0.27169750454853303,0.21200032485286627,1
21,4422,0.004872805591209436,-0.16286298688317824,0.1538521509944874,-0.22966760743553144,1
22,4423,-0.0019436817837834685,-0.37052863912076506,0.28894937208826943,-0.7973985059427733,1
23,4424,0.01522985337927596,-0.5848969259302219,0.9539239626907947,1.0528765631339716,1
24,4425,-0.001901066157720931,-0.2389457873356021,0.2624118862578857,-0.13328326019716566,1
25,4426,-0.0048498447004118785,-0.3231611896189095,0.25107230460744867,-0.6171313869046944,1
26,4427,-0.003752574660770012,-0.38937817819360965,0.3539650709085842,-0.24373521737387072,1
27,4428,0.012356189959249907,-0.3492128873356287,0.383159235536902,0.18954903813709434,1
28,4429,0.010395711484604763,-0.34459692902183114,0.3623662590292574,0.025304133206189388,1
29,4430,0.012029659584847337,-0.41076913046024904,0.4039226124313301,0.09382951423945145,1
30,4431,0.01068182443303624,-0.3955507857906011,0.3595776779449845,-0.07597756970105993,1
31,4432,-0.00492147377071073,-0.3734061358690447,0.3312484754960244,-0.5073663242051715,1
32,4433,0.006301515822346799,-0.22805602276706877,0.22301686916413652,-0.014252310781584464,1
33,4434,-0.05532963270401594,-0.6182275645538462,0.7094031370267022,0.22647833756934876,1
34,4435,0.005172594244647552,-0.22196117728989923,0.25397601900647027,0.1310439523510287,1
35,4436,-0.0006832632110886712,-0.19912417059478055,0.19096823614793226,-0.04509733512643365,1
36,4437,0.012708484897991397,-0.4993392413093787,0.8416401148344522,0.7414529701864115,1
37,4438,0.009237523132343523,-0.5690681722793522,0.5140675061902793,0.029672946689180607,1
38,4439,0.026262098624073454,-0.3472292905944421,0.3733352242732319,0.19770960089081477,1
39,4440,-0.0014277881616770645,-0.6652328519227733,0.6308307842260814,-0.02968874111703764,1
40,4441,0.007074297937846647,-0.35476578832099653,0.406427761608729,0.21431110701285871,1
41,4442,0.0017826747708618504,-0.3356640745903411,0.30746551790352067,0.10884380766849173,1
42,4443,-0.01627909673959389,-0.3905888286438307,0.3524046677993228,-0.22484529338874104,1
43,4444,0.002882825399856119,-0.22925740816555223,0.25505995222438405,-0.04531726061683176,1
44,4445,-0.051759102839015435,-0.6290769975087112,0.510442348119857,0.09000986019607468,1
45,4446,0.011101355477168803,-0.48116386610251005,0.4547261661551856,-0.35150534581356346,1
46,4447,-0.005443173491213351,-0.473156646064142,0.5163471625234546,0.10463852216908172,1
47,4448,-0.0065594225802095805,-0.44903643891842837,0.3955487501979792,-0.04866512724677179,1
48,4449,0.007959115517939446,-0.31743270769737764,0.3246635586149538,-0.08303436700051399,1
49,4450,0.028511898092583334,-0.3163611102095195,0.38608568810884475,0.37277679231010946,1
50,4451,0.0835967372746238,-0.5093077268163726,0.9568026101262973,0.9406894559280242,1
51,4452,0.0008368770856681777,-0.34523345798711025,0.3441160713956557,0.08560220395790011,1
52,4453,0.011246423291668958,-0.36327268127114964,0.30915312793162314,-0.164271905198156,1
53,4454,0.0017307879969815669,-0.5277486184176345,0.48560209043984137,0.035358897463879005,1
54,4455,-0.013270182506181158,-0.5033166077831421,0.4481262307195868,-0.47791272569447424,1
55,4456,-0.009592296046368054,-0.34022060303267104,0.3137628918257924,0.07586365208587295,1
56,4457,-0.07271089770841462,-0.6147935906592403,0.6462871643556896,0.014114311298418131,1
57,4458,-0.03739066287098472,-0.5101359894362623,0.40313840723724603,-0.13500848811069546,1
58,4459,-0.059729963012521,-0.534730126817718,0.4011454464221521,-0.10980036068382265,1
59,4460,0.026046607654249043,-0.37433687809070193,0.5518235469792522,0.41325658678365534,1
60,4461,-0.0781534057592846,-0.5443190075273708,0.6353668481883219,0.32583659654558256,1
61,4462,-0.028345299359568348,-0.5078485552896378,0.406848294724223,-0.3630401981112262,1
62,4463,0.03148089549534694,-0.4304853501680298,0.6284848911839196,0.7974249155098111,1
63,4464,0.008876772401122881,-0.3657030920686489,0.40397753303831396,0.07956643112720922,1
64,4465,0.0027650063277341367,-0.4994486069995132,0.41723645068524573,-0.56343325400878,1
65,4466,0.03070861637377367,-0.5224885213690817,0.8187358045874336,1.0377008925395552,1
66,4467,0.007843375415192394,-0.4068272510119795,0.4396342989508252,0.13539765489809322,1
67,4468,-0.09213149981584105,-0.7580753383757998,0.5422138177114196,-0.21455501828157578,1
68,4469,-0.10301736859118264,-0.697962191469117,0.5379018748160627,0.055804430667993433,1
69,4470,0.0023159279666879833,-0.18867368290528805,0.21764716203716414,0.3660048279346422,1
70,4471,-0.11497540331618657,-0.8974191157836198,0.6296632878156376,-0.10200518186932539,1
71,4472,-0.05114738335281397,-0.5352078133448778,0.48931768585200797,0.34008491126316487,1
72,4473,-0.024231048999542117,-0.5173189156066516,0.45201656835663634,-0.1836889032645668,1
73,4474,-0.0729338354424749,-0.6406116435317928,0.6094002044462357,0.24614307175540245,1
74,4475,-0.07206827781044241,-0.5957273538749175,0.4531496976051476,-0.07587923867252795,1
75,4476,-0.04573262635009157,-0.5939156868629141,0.7552345000338083,0.37841803192671,1
76,4477,-0.10899499527158667,-0.6368295918297089,0.7115117785152382,0.5327025488413322,1
77,4478,-0.05502823683612512,-0.48720936993901326,0.4610640825212118,0.301447455877758,1
78,4479,-0.013671160821380831,-0.4854235539066085,0.6770468558273124,0.5071914992726677,1
